Country,ISO_3,Region,EU_Member,CO2_per_capita_tons_avg,Renewable_energy_share_pct_avg,Fossil_fuel_share_pct_avg,Low_carbon_energy_share_pct_avg,Energy_per_capita_kWh_avg,Carbon_intensity_electricity_gCO2_kWh_avg,Sovereign_ESG_Score,Environmental_Pillar_Score,Social_Pillar_Score,Governance_Pillar_Score,ESG_Source,Physical_Climate_Risk_Score,Transition_Climate_Risk_Score,Climate_Vulnerability_Score,Climate_Readiness_Score,Climate_Risk_Source,EU_ETS_Carbon_Price_2022_EUR,EU_ETS_Source
United Kingdom,GBR,Europe,No,4.98,17.83,76.09,23.91,30254.89,258.26,83.5,79.2,86.7,84.6,"Sovereign ESG Data Portal (World Bank, 2023)",41.2,43.5,27.8,80.5,ND-GAIN Country Index 2023; EU Climate-ADAPT 2023,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Bulgaria,BGR,Europe,Yes,6.09,11.69,69.05,30.95,31093.71,428.56,,,,,,,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Croatia,HRV,Europe,Yes,4.42,25.51,74.49,25.51,24010.57,231.15,,,,,,,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Slovakia,SVK,Europe,Yes,6.04,10.37,68.67,31.33,33963.27,159.79,,,,,,,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Slovenia,SVN,Europe,Yes,6.27,18.18,62.51,37.49,36194.16,275.73,,,,,,,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Estonia,EST,Europe,Yes,8.21,13.32,86.68,13.32,46125.18,463.2,,,,,,,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Latvia,LVA,Europe,Yes,3.75,23.9,76.1,23.9,22161.77,177.86,,,,,,,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Lithuania,LTU,Europe,Yes,4.8,12.05,87.95,12.05,24650.5,201.05,,,,,,,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Luxembourg,LUX,Europe,Yes,13.2,9.82,90.18,9.82,66864.32,158.81,,,,,,,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Malta,MLT,Europe,Yes,3.2,,,,72560.83,507.1,,,,,,,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Cyprus,CYP,Europe,Yes,5.4,6.49,93.51,6.49,23353.92,574.28,,,,,,,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
Iceland,ISL,Europe,Yes,9.45,83.38,16.62,83.38,166064.75,28.0,,,,,,,,,,,80.52,EEA EU ETS data; EEX/ICE carbon price benchmarks (2023-2024)
